timestamp,frame,track_id,direction
2025-11-05 13:24:15,67,1,entry
2025-11-05 13:24:23,104,2,entry
2025-11-05 13:25:22,67,1,entry
2025-11-05 13:25:31,104,2,entry
2025-11-05 13:26:33,378,15,entry
2025-11-05 13:26:45,430,4,entry
2025-11-05 13:27:04,527,19,exit
2025-11-05 13:36:58,27,3,exit
2025-11-05 13:37:14,77,13,entry
2025-11-05 13:37:17,85,10,entry
2025-11-05 13:48:27,67,1,entry
2025-11-05 13:48:35,104,2,entry
2025-11-05 13:49:34,378,15,entry
2025-11-05 13:49:46,430,4,entry
2025-11-05 13:50:04,527,19,exit
2025-11-05 13:54:22,67,1,entry
2025-11-05 13:54:30,104,2,entry
2025-11-05 13:55:30,378,15,entry
2025-11-05 13:55:42,430,4,entry
2025-11-05 13:56:02,527,19,exit
